Sat Jul 18 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Sat Jul 18 2026 00:00:00 GMT+0530 (India Standard Time),Fri Jul 17 2026 00:00:00 GMT+0530 (India Standard Time),Thu Jul 16 2026 00:00:00 GMT+0530 (India Standard Time),Wed Jul 15 2026 00:00:00 GMT+0530 (India Standard Time),Tue Jul 14 2026 00:00:00 GMT+0530 (India Standard Time),Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),Sun Jul 12 2026 00:00:00 GMT+0530 (India Standard Time),Tier
,,,,,,,,,,,,,,Pune,DP,Raw,0.0004933177863485514,0.0015554367374714432,0.0011740269123092207,0.0004557261996992207,0.0012198978900284643,0.0005111524163568773,0.0009712509712509713,Tier-1
,,,,,,,,,,,,,,Pune,WH,Shrivelled / Dry,0.00013454121445869585,0.0001944295921839304,0.00018061952497064934,0.00009114523993984414,0.00022590701667193783,0.00041821561338289964,0,Tier-1
,,,,,,,,,,,,,,Pune,WH,Underweight (packing issue),0.0001793882859449278,0.0000972147960919652,0.00018061952497064934,0.00022786309984961035,0.0001355442100031627,0.0011617100371747212,0.0002331002331002331,Tier-1
,,,,,,,,,,,,,,Gurgaon,CX,Customer perception / Wrong claim,0.00390337310354986,0.0034027383942315482,0.0024440239672027754,0.004594059405940594,0.004128886010362694,0.004449571522742254,0.003783012134189864,Tier-1
,,,,,,,,,,,,,,Gurgaon,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Gurgaon,Pod,External Damage/Bruises,0.013035793194874062,0.014583164546706636,0.016477451907915483,0.012594059405940595,0.017244170984455957,0.014502307185234015,0.014917915774446823,Tier-1
,,,,,,,,,,,,,,Gurgaon,Pod,External Rotten/ Fungal,0.00014729709824716454,0,0,0,0.00008095854922279793,0.00024719841793012525,0.00014275517487508923,Tier-1
,,,,,,,,,,,,,,Gurgaon,Sourcing,Internal Rotten,0.002209456473707468,0.0017013691971157741,0.002207505518763797,0.0018217821782178219,0.0012953367875647669,0.0015655899802241265,0.0016416845110635262,Tier-1
,,,,,,,,,,,,,,Gurgaon,Sourcing,Taste / water content,0.0010310796877301518,0.0006481406465202949,0.0005518763796909492,0.001504950495049505,0.0009715025906735751,0.0006591957811470006,0.0006423982869379015,Tier-1
,,,,,,,,,,,,,,Gurgaon,Sourcing,Incorrect size (sourcing issue),0,0,0,0,0,0,0,Tier-1
