Sun Sep 13 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Mon Sep 14 2026 00:00:00 GMT+0530 (India Standard Time),Sun Sep 13 2026 00:00:00 GMT+0530 (India Standard Time),Sat Sep 12 2026 00:00:00 GMT+0530 (India Standard Time),Fri Sep 11 2026 00:00:00 GMT+0530 (India Standard Time),Thu Sep 10 2026 00:00:00 GMT+0530 (India Standard Time),Wed Sep 09 2026 00:00:00 GMT+0530 (India Standard Time),Tue Sep 08 2026 00:00:00 GMT+0530 (India Standard Time),Tier
,,,,,,,,,,,,,,Kolkata,WH,Underweight (packing issue),0,0.00025329280648429586,0.000792348180429,0.0003033244358165494,0.00021843599825251202,0.00015799452285654097,0.00005467468562055768,Tier-1
,,,,,,,,,,,,,,Mumbai,CX,Customer perception / Wrong claim,0,0.005498333838230839,0.006529188717886328,0.002744275073219104,0.002314470750610468,0.0028593866414288877,0.002905658822074764,Tier-1
,,,,,,,,,,,,,,Mumbai,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Mumbai,Pod,External Damage/Bruises,0,0.006422296273856407,0.013747794878033943,0.005765283767267025,0.00501114768022083,0.0048327661545276976,0.00535795243786836,Tier-1
,,,,,,,,,,,,,,Mumbai,Pod,External Rotten/ Fungal,0,0.0001514692517418964,0.0006083095078776082,0.0002536724857597491,0.00044590720883320946,0.0003221844103018465,0.000350327659399085,Tier-1
,,,,,,,,,,,,,,Mumbai,Sourcing,Internal Rotten,0,0.0009845501363223265,0.0024332380315104326,0.0010608122131771326,0.0008493470644442085,0.0009262801796178087,0.0009273379219387545,Tier-1
,,,,,,,,,,,,,,Mumbai,Sourcing,Taste / water content,0,0.00012117540139351712,0.0005272015734939271,0.0002767336208288172,0.00046714088544431466,0.0003020478846579811,0.00026789762189341796,Tier-1
,,,,,,,,,,,,,,Mumbai,Sourcing,Incorrect size (sourcing issue),0,0,0,0,0,0,0.00004121501875283353,Tier-1
,,,,,,,,,,,,,,Mumbai,DP,Overripe,0,0.00027264465313541354,0.0008921872782204919,0.0002767336208288172,0.0003397388257776834,0.00042286703852117356,0.00026789762189341796,Tier-1
,,,,,,,,,,,,,,Mumbai,DP,Raw,0,0.0008330808845804302,0.0017843745564409838,0.0005073449715194982,0.0007644123579997877,0.001127645436056463,0.000968552940691588,Tier-1
,,,,,,,,,,,,,,Mumbai,WH,Shrivelled / Dry,0,0.004241139048773099,0.0029604396050043596,0.0008071397274173835,0.0011041511837774712,0.0009464167052616742,0.000968552940691588,Tier-1
,,,,,,,,,,,,,,Mumbai,WH,Underweight (packing issue),0,0.0002574977279612239,0.0006083095078776082,0.0002767336208288172,0.0001698694128888417,0.0002416383077263849,0.00028850513126983473,Tier-1
,,,,,,,,,,,,,,Pune,CX,Customer perception / Wrong claim,0,0.007698084866691701,0.011318813239581546,0.003668516602389239,0.0032636499955896623,0.002907225309961522,0.0023722782343472,Tier-1
,,,,,,,,,,,,,,Pune,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Pune,Pod,External Damage/Bruises,0,0.0063524846664163226,0.014663008060367005,0.00691374282757972,0.006659610126135662,0.0049593843522873025,0.004236211132762857,Tier-1
,,,,,,,,,,,,,,Pune,Pod,External Rotten/ Fungal,0,0.00006258605582676179,0.00008574858514834505,0.00009406452826639074,0.00008820675663755844,0.00004275331338178709,0,Tier-1
