Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),Fri Aug 14 2026 00:00:00 GMT+0530 (India Standard Time),Thu Aug 13 2026 00:00:00 GMT+0530 (India Standard Time),Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),Tue Aug 11 2026 00:00:00 GMT+0530 (India Standard Time),Tier
,,,,,,,,,,,,,,Mumbai,DP,Overripe,0.0003510482691370063,0.00023711130682203103,0.0001828579027860895,0.0001900337837837838,0.0001575826816632852,0.00017234775947912677,0.00020588070149169926,Tier-1
,,,,,,,,,,,,,,Mumbai,DP,Raw,0.00040955631399317407,0.00044034956981234334,0.0003490923598643527,0.0004856418918918919,0.00035456103374239173,0.0004787437763309077,0.00050534354002508,Tier-1
,,,,,,,,,,,,,,Mumbai,WH,Shrivelled / Dry,0.0005655777669429546,0.0007960165300453898,0.0007480550568521843,0.00023226351351351353,0.0005515393858214982,0.0005170432784373803,0.00039304497557506225,Tier-1
,,,,,,,,,,,,,,Mumbai,WH,Underweight (packing issue),0.0003315455875182838,0.0002879208725696091,0.00016623445707826317,0.00010557432432432433,0.0000787913408316426,0.00019149751053236308,0.00011229856445001779,Tier-1
,,,,,,,,,,,,,,Pune,CX,Customer perception / Wrong claim,0.002214022140221402,0.0030886019424701374,0.0025752773375594296,0.001990950226244344,0.0026109660574412533,0.0028699551569506725,0.0027526543452615023,Tier-1
,,,,,,,,,,,,,,Pune,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Pune,Pod,External Damage/Bruises,0.007257072570725707,0.007851747106761434,0.005467511885895404,0.004977375565610859,0.0051390443035351655,0.004932735426008968,0.005549001616638266,Tier-1
,,,,,,,,,,,,,,Pune,Pod,External Rotten/ Fungal,0.00004100041000410004,0,0,0,0.000041443905673670685,0.00008968609865470852,0,Tier-1
,,,,,,,,,,,,,,Pune,Sourcing,Internal Rotten,0.0008200082000820008,0.0011163621478807726,0.0009112519809825674,0.0009049773755656109,0.001077541547515438,0.0010313901345291479,0.0007864726700747149,Tier-1
,,,,,,,,,,,,,,Pune,Sourcing,Taste / water content,0.0004100041000410004,0.00022327242957615451,0.00019809825673534074,0.00022624434389140272,0.0002486634340420241,0.00017937219730941703,0.0002184646305763097,Tier-1
,,,,,,,,,,,,,,Pune,Sourcing,Incorrect size (sourcing issue),0.00004100041000410004,0.000148848286384103,0.00027733755942947703,0.00009049773755656108,0.00016577562269468274,0,0,Tier-1
,,,,,,,,,,,,,,Pune,DP,Overripe,0.00032800328003280033,0.00003721207159602575,0.0000792393026941363,0.0002714932126696833,0.00012433171702101205,0.00035874439461883406,0.00008738585223052388,Tier-1
,,,,,,,,,,,,,,Pune,DP,Raw,0.00036900369003690036,0.0006698172887284635,0.0006735340729001585,0.000497737556561086,0.0003315512453893655,0.0004484304932735426,0.0005243151133831433,Tier-1
,,,,,,,,,,,,,,Pune,WH,Shrivelled / Dry,0.0009020090200902009,0.00044654485915230903,0.0005546751188589541,0.00022624434389140272,0.000538770773757719,0.0004932735426008968,0.0002184646305763097,Tier-1
,,,,,,,,,,,,,,Pune,WH,Underweight (packing issue),0.00036900369003690036,0.00040933278755628325,0.0003169572107765452,0.00022624434389140272,0.0003315512453893655,0.00017937219730941703,0.0002184646305763097,Tier-1
,,,,,,,,,,,,,,Gurgaon,CX,Customer perception / Wrong claim,0.0034451870736580997,0.004068496478017975,0.0032419687592101384,0.0015519917227108122,0.002576560659599529,0.002935625917383099,0.0029366615497563907,Tier-1
,,,,,,,,,,,,,,Gurgaon,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Gurgaon,Pod,External Damage/Bruises,0.00792393026941363,0.008379888268156424,0.007603890362511052,0.0064296799940876505,0.009128386336866903,0.006640106241699867,0.006807715410798905,Tier-1
,,,,,,,,,,,,,,Gurgaon,Pod,External Rotten/ Fungal,0.00020671122441948597,0.0003036191401505951,0.00011788977306218685,0.00007390436774813391,0.00036808009422850414,0.0011183336828126092,0,Tier-1
,,,,,,,,,,,,,,Gurgaon,Sourcing,Internal Rotten,0.0016536897953558878,0.0012144765606023804,0.0017094017094017094,0.0004434262064888035,0.0016195524146054182,0.000908646117285245,0.0014683307748781954,Tier-1
,,,,,,,,,,,,,,Gurgaon,Sourcing,Taste / water content,0.0007579411562047819,0.0006072382803011902,0.0004715590922487474,0.0009607567807257409,0.0008097762073027091,0.0007688544069336689,0.0006674230794900888,Tier-1
,,,,,,,,,,,,,,Gurgaon,Sourcing,Incorrect size (sourcing issue),0.00006890374147316199,0.00018217148409035706,0,0.00007390436774813391,0.00036808009422850414,0.00013979171035157615,0,Tier-1
,,,,,,,,,,,,,,Gurgaon,DP,Overripe,0.00041342244883897194,0.00048579062424095217,0.0002947244326554671,0.00036952183874066957,0.00036808009422850414,0.0003494792758789404,0.00013348461589801776,Tier-1
,,,,,,,,,,,,,,Gurgaon,DP,Raw,0.0017914972783022118,0.0021860578090842847,0.001237842617152962,0.0015519917227108122,0.0002944640753828033,0,0.0008009076953881065,Tier-1
