WEEK,CITY,Basic Reason for IGCC,SPOC,ORDERS_TOTAL,IGCC,inc_%
10,Erode,Raw,Sourcing,3644,7,0.0019
10,Mangaluru,Underweight (packing issue),WH,21603,4,0.0002
10,Vadodara,Underweight (packing issue),WH,9437,3,0.0003
10,Mysore,Underweight (packing issue),WH,22787,3,0.0001
10,Guwahati,Underweight (packing issue),WH,7840,5,0.0006
10,Lucknow,Raw,Sourcing,24020,6,0.0003
10,Kozhikode,Raw,Sourcing,14350,16,0.0011
10,Hyderabad,Raw,Sourcing,392758,295,0.0008
10,Dehradun,External Damage/Bruises,Pod,14021,69,0.0049
10,Chandigarh,Customer perception / Wrong claim,CX,47714,144,0.003
10,Noida 1,Taste / water content,Sourcing,71727,71,0.001
10,Jaipur,Taste / water content,Sourcing,30010,11,0.0004
10,Indore,Taste / water content,Sourcing,14906,14,0.0009
10,Jaipur,Internal Rotten,Sourcing,30010,17,0.0006
10,Coimbatore,External Damage/Bruises,Pod,31184,201,0.0064
10,Nellore,Customer perception / Wrong claim,CX,4614,12,0.0026
10,Delhi,Damage in transit,Pod,199871,7,0
10,Mangaluru,Shrivelled / Dry,WH,21603,4,0.0002
10,Ambala,Customer perception / Wrong claim,CX,2127,9,0.0042
10,Vapi,Customer perception / Wrong claim,CX,4031,7,0.0017
10,Moradabad,External Damage/Bruises,Pod,2751,9,0.0033
10,Bikaner,Customer perception / Wrong claim,CX,1411,9,0.0064
10,Tirunelveli,External Damage/Bruises,Pod,5266,10,0.0019
10,Sri Ganganagar,External Damage/Bruises,Pod,3065,10,0.0033
10,Amritsar,Underweight (packing issue),WH,3055,4,0.0013
10,Ajmer,External Damage/Bruises,Pod,1855,6,0.0032
10,Aligarh,External Damage/Bruises,Pod,1507,18,0.0119
10,Erode,Taste / water content,Sourcing,3644,1,0.0003
10,Erode,Shrivelled / Dry,WH,3644,1,0.0003
10,Moradabad,Incorrect size (sourcing issue),Sourcing,2751,1,0.0004
10,Mathura,Customer perception / Wrong claim,CX,1266,1,0.0008
10,Shivamogga,Underweight (packing issue),WH,3566,1,0.0003
10,Berhampur,External Rotten/ Fungal,Pod,1401,1,0.0007
10,Dibrugarh,Underweight (packing issue),WH,2781,1,0.0004
10,Nashik,Incorrect size (sourcing issue),Sourcing,8221,1,0.0001
10,Thoothukudi,External Rotten/ Fungal,Pod,4630,2,0.0004
10,Bhilai,Incorrect size (sourcing issue),Sourcing,995,1,0.001
10,Nizamabad,Incorrect size (sourcing issue),Sourcing,473,1,0.0021
