Unique ID,DATE,WEEK,CITY,ITEM_CODE_NEW,ITEM_NAME,Total IGCC,Unique Order Numbers,Reason Summary
8/16/2026-Pune-5456,Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),33,Pune,5456,Lettuce Green,2,,External Damage/Bruises (2.00)
8/15/2026-Patiala-1041,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Patiala,1041,Green Chilli,1,,External Rotten/ Fungal (1.00)
8/12/2026-Nagpur-5456,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Nagpur,5456,Lettuce Green,2,,"Shrivelled / Dry (1.00), External Damage/Bruises (1.00)"
8/17/2026-Nashik-8684,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Nashik,8684,Sitara Chilli,1,,External Damage/Bruises (1.00)
8/17/2026-Kochi-1292,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Kochi,1292,Lettuce Iceberg,1,,External Rotten/ Fungal (1.00)
8/17/2026-Ahmedabad-1092,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Ahmedabad,1092,Mint Leaves,1,,Customer perception / Wrong claim (1.00)
8/13/2026-Hyderabad-12474,Thu Aug 13 2026 00:00:00 GMT+0530 (India Standard Time),33,Hyderabad,12474,Rosemary,1,,External Damage/Bruises (1.00)
8/15/2026-Faridabad-1086,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Faridabad,1086,Lemon (Nimbu),1,,Customer perception / Wrong claim (1.00)
8/13/2026-Nanded-1292,Thu Aug 13 2026 00:00:00 GMT+0530 (India Standard Time),33,Nanded,1292,Lettuce Iceberg,1,,External Rotten/ Fungal (1.00)
8/16/2026-Silchar-3795,Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),33,Silchar,3795,Ginger,1,,Customer perception / Wrong claim (1.00)
8/17/2026-Pune-8683,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Pune,8683,Colocasia Leaves,1,,Customer perception / Wrong claim (1.00)
8/17/2026-Bangalore-6331,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Bangalore,6331,Fenugreek,4,,"Shrivelled / Dry (2.00), Customer perception / Wrong claim (1.00), External Damage/Bruises (1.00)"
8/12/2026-Coimbatore-1092,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Coimbatore,1092,Mint Leaves,5,,"External Damage/Bruises (4.00), Shrivelled / Dry (1.00)"
8/12/2026-Vizag-5798,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Vizag,5798,Gongura Leaves,1,,Shrivelled / Dry (1.00)
8/12/2026-Bangalore-14202,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Bangalore,14202,Arugula / Rocket Leaves,2,,External Damage/Bruises (2.00)
8/13/2026-Mumbai-1292,Thu Aug 13 2026 00:00:00 GMT+0530 (India Standard Time),33,Mumbai,1292,Lettuce Iceberg,2,,"Customer perception / Wrong claim (1.00), External Damage/Bruises (1.00)"
8/15/2026-Kolkata-5452,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Kolkata,5452,Lettuce Red,1,,External Rotten/ Fungal (1.00)
8/17/2026-Noida-1086,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Noida,1086,Lemon (Nimbu),1,,External Rotten/ Fungal (1.00)
8/13/2026-Hosur-2970,Thu Aug 13 2026 00:00:00 GMT+0530 (India Standard Time),33,Hosur,2970,Imported Plum,1,,External Damage/Bruises (1.00)
8/16/2026-Vadodara-1041,Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),33,Vadodara,1041,Green Chilli,1,,External Damage/Bruises (1.00)
8/15/2026-Kolkata-7386,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Kolkata,7386,Lemongrass,1,,Shrivelled / Dry (1.00)
8/15/2026-Guwahati-1288,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Guwahati,1288,Spring Onion,4,,"External Damage/Bruises (3.00), Customer perception / Wrong claim (1.00)"
8/16/2026-Thiruvananthapuram-5456,Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),33,Thiruvananthapuram,5456,Lettuce Green,1,,External Damage/Bruises (1.00)
8/17/2026-Indore-12474,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Indore,12474,Rosemary,1,,Shrivelled / Dry (1.00)
8/17/2026-Indore-7386,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Indore,7386,Lemongrass,1,,Customer perception / Wrong claim (1.00)
8/18/2026-Ranchi-5132,Tue Aug 18 2026 00:00:00 GMT+0530 (India Standard Time),34,Ranchi,5132,Curry Leaves,1,,Shrivelled / Dry (1.00)
8/13/2026-Chandigarh-3795,Thu Aug 13 2026 00:00:00 GMT+0530 (India Standard Time),33,Chandigarh,3795,Ginger,4,,"External Damage/Bruises (2.00), Internal Rotten (1.00), Customer perception / Wrong claim (1.00)"
8/16/2026-Chennai-1288,Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),33,Chennai,1288,Spring Onion,2,,"Shrivelled / Dry (1.00), External Damage/Bruises (1.00)"
8/15/2026-Mysore-1051,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Mysore,1051,Coriander Leaves,2,,Customer perception / Wrong claim (2.00)
8/13/2026-Jamshedpur-1041,Thu Aug 13 2026 00:00:00 GMT+0530 (India Standard Time),33,Jamshedpur,1041,Green Chilli,1,,External Damage/Bruises (1.00)
8/15/2026-Vijayawada-3795,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Vijayawada,3795,Ginger,1,,External Damage/Bruises (1.00)
8/16/2026-Mumbai-1292,Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),33,Mumbai,1292,Lettuce Iceberg,3,,External Damage/Bruises (3.00)
8/17/2026-Coimbatore-1121,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Coimbatore,1121,Spinach,5,,"External Rotten/ Fungal (2.00), Customer perception / Wrong claim (2.00), External Damage/Bruises (1.00)"
8/18/2026-Kochi-1041,Tue Aug 18 2026 00:00:00 GMT+0530 (India Standard Time),34,Kochi,1041,Green Chilli,1,,Customer perception / Wrong claim (1.00)
