Unique ID,WEEK,CITY,ITEM_CODE_NEW,ITEM_NAME,Total IGCC,Unique Order Numbers,Reason Summary
33-Rohtak-1005,33,Rohtak,1005,Robusta Banana,2,,"External Damage/Bruises (1.00), Internal Rotten (1.00)"
33-Delhi-798681,33,Delhi,798681,The Flora Three Purple Roses,7,,"Shrivelled / Dry (6.00), External Damage/Bruises (1.00)"
33-Bangalore-749522,33,Bangalore,749522,nectr Sweet Corn,9,,"Customer perception / Wrong claim (3.00), Shrivelled / Dry (2.00), External Rotten/ Fungal (1.00), Underweight (packing issue) (1.00), Internal Rotten (1.00), External Damage/Bruises (1.00)"
33-Bhilai-5733,33,Bhilai,5733,Premium White Guava,1,,External Rotten/ Fungal (1.00)
33-Bangalore-743753,33,Bangalore,743753,"NOICE Fresh Hass Avocado Spread (Seasoned With Olive Oil & Lemon, No Preservatives)",6,,"External Damage/Bruises (4.00), Internal Rotten (2.00)"
33-Karur-12683,33,Karur,12683,Rambhutan (Jungle Litchi),1,,External Damage/Bruises (1.00)
33-Chennai-190473,33,Chennai,190473,The Flora Two Blue Orchids,4,,"Shrivelled / Dry (3.00), External Damage/Bruises (1.00)"
33-Nellore-1066,33,Nellore,1066,Drumstick,3,,"External Damage/Bruises (2.00), Customer perception / Wrong claim (1.00)"
33-Cuddalore-17060,33,Cuddalore,17060,Mango Neelam,1,,Internal Rotten (1.00)
33-Hosur-1284,33,Hosur,1284,Indian Tomato,1,,External Damage/Bruises (1.00)
33-Bhimavaram-255541,33,Bhimavaram,255541,Unripe Imported Avocado,1,,External Damage/Bruises (1.00)
33-Noida-918705,33,Noida,918705,Pear Nashpati,6,,"External Damage/Bruises (3.00), Customer perception / Wrong claim (2.00), External Rotten/ Fungal (1.00)"
33-Vellore-952698,33,Vellore,952698,Kale Leaf - Protected Cultivation,1,,Customer perception / Wrong claim (1.00)
33-Nellore-3380,33,Nellore,3380,Peeled Pomegranate,1,,Internal Rotten (1.00)
33-Hyderabad-918705,33,Hyderabad,918705,Pear Nashpati,16,,"External Damage/Bruises (9.00), Customer perception / Wrong claim (4.00), Internal Rotten (3.00)"
33-Bhilai-2969,33,Bhilai,2969,Imported Blueberry (From Peru),2,,"Shrivelled / Dry (1.00), Customer perception / Wrong claim (1.00)"
33-Noida 1-913501,33,Noida 1,913501,The Flora Single Sunflower Bouquet,4,,"Shrivelled / Dry (2.00), External Damage/Bruises (2.00)"
33-Bhilai-21211,33,Bhilai,21211,Papaya,1,,Customer perception / Wrong claim (1.00)
33-Karaikkudi-1027,33,Karaikkudi,1027,Green Capsicum,1,,Customer perception / Wrong claim (1.00)
33-Bathinda-3797,33,Bathinda,3797,Red & Yellow Bell Peppers,2,,"External Damage/Bruises (1.00), Customer perception / Wrong claim (1.00)"
33-Mumbai-647226,33,Mumbai,647226,Phulwaa Fresh Roses,4,,"Shrivelled / Dry (2.00), Customer perception / Wrong claim (1.00), External Damage/Bruises (1.00)"
33-Anantapur-1013,33,Anantapur,1013,Beetroot,1,,External Damage/Bruises (1.00)
33-Dehradun-642046,33,Dehradun,642046,Gujarat Kesar Mango,2,,"Internal Rotten (1.00), External Damage/Bruises (1.00)"
33-Noida-859311,33,Noida,859311,Pluckk 100% Natural Tender Coconut Water,1,,External Damage/Bruises (1.00)
33-Ongole-5005,33,Ongole,5005,Sweet Beauty Red Pear,1,,Customer perception / Wrong claim (1.00)
33-Chennai-806641,33,Chennai,806641,Imported Cherry,4,,"Customer perception / Wrong claim (2.00), External Damage/Bruises (1.00), Underweight (packing issue) (1.00)"
33-Bathinda-1005,33,Bathinda,1005,Robusta Banana,1,,Raw (1.00)
33-Bangalore-818386,33,Bangalore,818386,nectr Kateri Brinjal,6,,"Customer perception / Wrong claim (4.00), Incorrect size (sourcing issue) (1.00), Internal Rotten (1.00)"
33-Ongole-1296,33,Ongole,1296,Tender Coconut,5,,"External Damage/Bruises (3.00), Taste / water content (2.00)"
33-Delhi-854514,33,Delhi,854514,English Cucumber - Protected Cultivation,6,,"External Damage/Bruises (3.00), Overripe (2.00), Underweight (packing issue) (1.00)"
33-Udaipur-918705,33,Udaipur,918705,Pear Nashpati,2,,"Customer perception / Wrong claim (1.00), External Damage/Bruises (1.00)"
33-Bangalore-228397,33,Bangalore,228397,nectr Pomegranate,31,,"External Damage/Bruises (17.00), Customer perception / Wrong claim (7.00), Internal Rotten (4.00), Raw (2.00), External Rotten/ Fungal (1.00)"
33-Bangalore-899146,33,Bangalore,899146,nectr Green Chilli,1,,Customer perception / Wrong claim (1.00)
33-Bangalore-315426,33,Bangalore,315426,nectr Green Cucumber,1,,External Damage/Bruises (1.00)
33-Bathinda-3943,33,Bathinda,3943,Sambar Onion,2,,External Damage/Bruises (2.00)
33-Karaikkudi-2609,33,Karaikkudi,2609,Cowpea Beans,1,,Underweight (packing issue) (1.00)
33-Karaikkudi-7433,33,Karaikkudi,7433,Imported Avocado - Tanzania,1,,Internal Rotten (1.00)
33-Rohtak-1128,33,Rohtak,1128,Sweet Potato,1,,Customer perception / Wrong claim (1.00)
33-Mumbai-502122,33,Mumbai,502122,Pluckk ABC Juice - No Added Sugar | No Added Preservatives,2,,Taste / water content (2.00)
33-Kannur-1051,33,Kannur,1051,Coriander Leaves,1,,External Rotten/ Fungal (1.00)
33-Pune-684058,33,Pune,684058,Tangerine Orange,5,,"Customer perception / Wrong claim (3.00), Taste / water content (1.00), Underweight (packing issue) (1.00)"
33-Bangalore-772302,33,Bangalore,772302,nectr Blueberry,8,,"Underweight (packing issue) (3.00), Customer perception / Wrong claim (2.00), Overripe (2.00), External Damage/Bruises (1.00)"
33-Bangalore-128584,33,Bangalore,128584,nectr Baby Lady's Finger,6,,"Customer perception / Wrong claim (2.00), Shrivelled / Dry (1.00), Underweight (packing issue) (1.00), External Damage/Bruises (1.00), Raw (1.00)"
33-Hyderabad-798681,33,Hyderabad,798681,The Flora Three Purple Roses,9,,"Shrivelled / Dry (8.00), Customer perception / Wrong claim (1.00)"
33-Delhi-743753,33,Delhi,743753,"NOICE Fresh Hass Avocado Spread (Seasoned With Olive Oil & Lemon, No Preservatives)",3,,"Customer perception / Wrong claim (1.00), Internal Rotten (1.00), External Damage/Bruises (1.00)"
33-Dindigul-5733,33,Dindigul,5733,Premium Thai Guava,1,,Taste / water content (1.00)
33-Delhi-598792,33,Delhi,598792,Superplum Premium Chausa Mangoes,11,,"Internal Rotten (5.00), Customer perception / Wrong claim (2.00), Raw (2.00), External Damage/Bruises (2.00)"
33-Bhimavaram-8689,33,Bhimavaram,8689,Hybrid Tomato,1,,External Damage/Bruises (1.00)
33-Bangalore-605538,33,Bangalore,605538,nectr Cherry Tomato,4,,"External Damage/Bruises (2.00), External Rotten/ Fungal (1.00), Underweight (packing issue) (1.00)"
33-Bangalore-188428,33,Bangalore,188428,Freshcon Boiled Sweetcorn Kernels ( Ready -to -Eat),2,,"Customer perception / Wrong claim (1.00), Internal Rotten (1.00)"
33-Nanded-1005,33,Nanded,1005,Robusta Banana,1,,External Damage/Bruises (1.00)
33-Mumbai-806641,33,Mumbai,806641,Imported Cherry,9,,"Customer perception / Wrong claim (4.00), Underweight (packing issue) (3.00), External Damage/Bruises (2.00)"
33-Bathinda-7433,33,Bathinda,7433,Imported Avocado - Tanzania,1,,Raw (1.00)
33-Delhi-513786,33,Delhi,513786,The Flora Three Red Rose Bouquet,2,,"Customer perception / Wrong claim (1.00), Shrivelled / Dry (1.00)"
33-Hyderabad-187462,33,Hyderabad,187462,Sam Agri Coconut Chunks,2,,Internal Rotten (2.00)
33-Bangalore-874167,33,Bangalore,874167,nectr Onion,27,,"External Damage/Bruises (9.00), External Rotten/ Fungal (6.00), Customer perception / Wrong claim (5.00), Internal Rotten (3.00), Underweight (packing issue) (3.00), Shrivelled / Dry (1.00)"
33-Cuddalore-1005,33,Cuddalore,1005,Robusta Banana,1,,External Damage/Bruises (1.00)
33-Mumbai-367466,33,Mumbai,367466,Pear Nakh,6,,"Customer perception / Wrong claim (2.00), External Damage/Bruises (2.00), Raw (2.00)"
33-Anantapur-1095,33,Anantapur,1095,Button Mushroom,2,,"External Damage/Bruises (1.00), Customer perception / Wrong claim (1.00)"
33-Bangalore-235000,33,Bangalore,235000,nectr Pineapple (From Kerala),12,,"External Damage/Bruises (5.00), Raw (3.00), External Rotten/ Fungal (2.00), Internal Rotten (1.00), Customer perception / Wrong claim (1.00)"
33-Gurgaon-582620,33,Gurgaon,582620,The Flora Single Pink Rose,7,,"Shrivelled / Dry (6.00), Customer perception / Wrong claim (1.00)"
33-Bangalore-812053,33,Bangalore,812053,The Flora Three Purple chrysanthemum,3,,Shrivelled / Dry (3.00)
33-Bangalore-598792,33,Bangalore,598792,Superplum Premium Chausa Mangoes,9,,"External Damage/Bruises (4.00), Raw (2.00), Customer perception / Wrong claim (1.00), Internal Rotten (1.00), External Rotten/ Fungal (1.00)"
33-Bangalore-691672,33,Bangalore,691672,Pear Nashpati,10,,"External Damage/Bruises (5.00), Customer perception / Wrong claim (3.00), External Rotten/ Fungal (2.00)"
33-Muzaffarpur-8687,33,Muzaffarpur,8687,Pointed Gourd,1,,External Damage/Bruises (1.00)
33-Cuddalore-1296,33,Cuddalore,1296,Tender Coconut,2,,"Taste / water content (1.00), External Damage/Bruises (1.00)"
33-Karaikkudi-1131,33,Karaikkudi,1131,Kiran Watermelon,2,,Internal Rotten (2.00)
33-Nellore-1009,33,Nellore,1009,Cluster Beans - Gawar Phali,2,,"Customer perception / Wrong claim (1.00), External Rotten/ Fungal (1.00)"
33-Bikaner-1069,33,Bikaner,1069,Garlic Peeled,2,,"Internal Rotten (1.00), Customer perception / Wrong claim (1.00)"
33-Noida 1-210255,33,Noida 1,210255,The Flora Single Yellow Rose,1,,Shrivelled / Dry (1.00)
33-Eluru-4599,33,Eluru,4599,Lady's Finger,1,,External Damage/Bruises (1.00)
33-Anantapur-3384,33,Anantapur,3384,Diced Muskmelon,2,,External Damage/Bruises (2.00)
33-Bilaspur-4599,33,Bilaspur,4599,Lady's Finger,1,,External Damage/Bruises (1.00)
33-Muzaffarpur-1284,33,Muzaffarpur,1284,Indian Tomato,2,,"External Rotten/ Fungal (1.00), Shrivelled / Dry (1.00)"
33-Hyderabad-993186,33,Hyderabad,993186,Imported Snacky Apple,11,,"External Damage/Bruises (8.00), Customer perception / Wrong claim (3.00)"
33-Hyderabad-188428,33,Hyderabad,188428,Freshcon Boiled Sweetcorn Kernels ( Ready -to -Eat),1,,External Damage/Bruises (1.00)
33-Hyderabad-831537,33,Hyderabad,831537,Sam Agri Peeled Pomegranate,4,,"External Damage/Bruises (2.00), Customer perception / Wrong claim (1.00), Taste / water content (1.00)"
33-Bangalore-941533,33,Bangalore,941533,The Flora Three Red chrysanthemum,7,,"Shrivelled / Dry (6.00), External Damage/Bruises (1.00)"
33-Gurgaon-190473,33,Gurgaon,190473,The Flora Two Blue Orchids,2,,"External Damage/Bruises (1.00), Customer perception / Wrong claim (1.00)"
